ペア,Ticker,開始日,終了日,営業日数,状態
USD/JPY,USDJPY=X,1996-10-30,2026-05-05,7652,OK
EUR/USD,EURUSD=X,2003-12-01,2026-05-06,5819,OK
GBP/USD,GBPUSD=X,2003-12-01,2026-05-06,5831,OK
AUD/USD,AUDUSD=X,2006-05-16,2026-05-06,5195,OK
NZD/USD,NZDUSD=X,2003-12-01,2026-05-06,5820,OK
USD/CAD,USDCAD=X,2003-09-17,2026-05-05,5886,OK
USD/CHF,USDCHF=X,2003-09-17,2026-05-06,5885,OK
EUR/JPY,EURJPY=X,2003-01-23,2026-05-05,6043,OK
GBP/JPY,GBPJPY=X,2003-12-01,2026-05-06,5835,OK
AUD/JPY,AUDJPY=X,2003-12-01,2026-05-05,5837,OK
NZD/JPY,NZDJPY=X,2003-12-01,2026-05-06,5835,OK
CHF/JPY,CHFJPY=X,2003-12-01,2026-05-06,5837,OK
CAD/JPY,CADJPY=X,2004-08-20,2026-05-05,5647,OK
ZAR/JPY,ZARJPY=X,2003-12-01,2026-05-06,5834,OK
TRY/JPY,TRYJPY=X,2007-05-01,2026-05-06,4906,OK
MXN/JPY,MXNJPY=X,2003-12-01,2026-05-06,5835,OK
SGD/JPY,SGDJPY=X,2003-12-01,2026-05-06,5810,OK
HKD/JPY,HKDJPY=X,2003-12-01,2026-05-05,5835,OK
NOK/JPY,NOKJPY=X,2003-12-01,2026-05-06,5834,OK
SEK/JPY,SEKJPY=X,2005-07-19,2026-05-06,5400,OK
EUR/GBP,EURGBP=X,1999-01-04,2026-05-05,7118,OK
EUR/AUD,EURAUD=X,2003-12-01,2026-05-05,5835,OK
EUR/CAD,EURCAD=X,2003-12-01,2026-05-05,5821,OK
EUR/CHF,EURCHF=X,2003-01-23,2026-05-05,6041,OK
AUD/NZD,AUDNZD=X,2003-12-01,2026-05-05,5837,OK
GBP/AUD,GBPAUD=X,2003-06-03,2026-05-05,5964,OK
GBP/CAD,GBPCAD=X,2003-12-01,2026-05-06,5836,OK
GBP/CHF,GBPCHF=X,2003-10-01,2026-05-05,5876,OK
AUD/CAD,AUDCAD=X,2003-12-01,2026-05-05,5838,OK
NZD/CAD,NZDCAD=X,2003-12-01,2026-05-06,5835,OK
